hour_utc,usd_per_mwh
0,16.243210133335065
1,16.460221363995267
2,17.72390180389877
3,19.340996335962647
4,33.50617926509339
5,54.48903022123093
6,52.3889989628523
7,36.48681681783237
8,34.71898944156557
9,22.65735765230014
10,22.29792807516423
11,17.71294028621756
12,17.248174059864972
13,16.671987663981792
14,16.24
15,17.58487087779805
16,18.38867311311711
17,16.965153176356782
18,13.475507684445791
19,12.534987387623962
20,11.256546290275288
21,12.54234509300855
22,12.002537225881031
23,10.191756291468577
